ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV173,s__midas_s_22,g__midas_g_22,na,na,na,na,na
ASV36433,,g__Flavobacterium,na,na,na,na,var
ASV3833,s__midas_s_2775,g__midas_g_2775,na,na,na,na,na
ASV1594,s__midas_s_57,g__midas_g_57,na,na,na,na,na
newASV1461,,,na,na,na,na,na
ASV18771,s__Bacteroides_coprocola,g__Bacteroides,na,na,na,na,na
ASV3473,s__Hyphomicrobium_denitrificans,g__Hyphomicrobium,na,na,na,na,neg
ASV4374,s__midas_s_6496,g__midas_g_5391,na,na,na,na,na
ASV6327,s__midas_s_18255,g__midas_g_16145,na,na,na,na,na
ASV3376,s__midas_s_12115,g__Ca_Ovatusbacter,na,na,na,na,na
ASV869,s__midas_s_515,g__midas_g_515,na,na,na,na,na
ASV22697,s__midas_s_65133,g__Veillonella,na,na,na,na,na
ASV32234,,g__Tetrasphaera,neg,neg,pos,neg,var
ASV27505,s__midas_s_76311,g__U29-B03,na,na,na,na,na
ASV15565,s__midas_s_13649,g__Algoriphagus,na,na,na,na,na
ASV4299,s__midas_s_20826,g__Ca_Odyssella,na,na,na,na,na
ASV1466,s__midas_s_410,g__midas_g_410,na,na,na,na,na
ASV1210,,g__Ferruginibacter,na,na,na,na,neg
ASV1087,s__midas_s_3221,g__midas_g_731,na,na,na,na,na
ASV267,s__midas_s_87,g__Ca_Cloacimonas,na,na,na,na,na
ASV804,s__midas_s_2202,g__midas_g_2202,na,na,na,na,na
ASV2671,s__midas_s_2775,g__midas_g_2775,na,na,na,na,na
newASV613,,,na,na,na,na,na
ASV1118,s__midas_s_467,g__midas_g_467,na,na,na,na,na
ASV9623,,g__Brevundimonas,na,na,na,na,na
ASV80,s__Ca_Fermentibacter_daniensis,g__Ca_Fermentibacter,neg,neg,neg,neg,neg
ASV501,s__midas_s_240,g__Christensenellaceae_R-7_group,na,na,na,na,na
ASV1876,,,na,na,na,na,na
ASV10644,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV628,s__midas_s_1408,g__midas_g_1408,na,na,na,na,na
ASV9867,s__midas_s_18255,g__midas_g_16145,na,na,na,na,na
ASV5460,s__midas_s_15684,g__Flavobacterium,na,na,na,na,var
ASV2787,s__midas_s_77,g__Ca_Caldatribacterium,na,na,na,na,na
ASV1333,s__midas_s_2272,g__Stenotrophobacter,na,na,na,na,na
ASV6081,s__midas_s_14621,g__midas_g_14621,na,na,na,na,na
ASV2237,s__midas_s_3189,g__Pedomicrobium,na,na,na,na,neg
ASV12379,s__midas_s_21124,g__Rhodanobacter,na,na,na,na,na
ASV1175,s__midas_s_326,g__midas_g_326,na,na,na,na,na
ASV14066,s__midas_s_38019,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV2714,,g__Ellin6067,na,na,na,na,na
ASV1047,s__midas_s_387,g__Ferruginibacter,na,na,na,na,neg
ASV3180,s__midas_s_1257,g__Hyphomicrobium,na,na,na,na,neg
ASV12486,s__midas_s_11287,g__midas_g_11287,na,na,na,na,na
ASV1744,s__midas_s_514,g__midas_g_190,na,na,na,na,na
ASV9076,s__midas_s_9699,g__Glutamicibacter,na,na,na,na,na
ASV5521,s__midas_s_20176,g__TM7a,na,na,na,na,na
ASV15966,,,na,na,na,na,na
ASV1416,s__midas_s_2488,g__Defluviicoccus,neg,neg,neg,pos,var
ASV3372,s__Flavobacterium_glaciei,g__Flavobacterium,na,na,na,na,var
ASV2162,s__midas_s_3277,g__midas_g_3277,na,na,na,na,na
ASV18939,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV442,s__midas_s_57,g__midas_g_57,na,na,na,na,na
ASV1849,s__midas_s_1341,g__midas_g_1341,na,na,na,na,na
ASV821,s__midas_s_669,g__midas_g_669,na,na,na,na,na
ASV2102,,g__Ferruginibacter,na,na,na,na,neg
ASV1060,s__midas_s_1475,g__Aquimonas,na,na,na,na,na
ASV555,s__midas_s_54,g__Christensenellaceae_R-7_group,na,na,na,na,na
ASV23019,,g__Chryseobacterium,na,na,na,na,var
ASV10242,s__midas_s_60603,g__Micrococcus,na,na,na,na,na
ASV4602,s__midas_s_13074,g__midas_g_13074,na,na,na,na,na
ASV17712,s__midas_s_16035,g__midas_g_1292,na,na,na,na,na
ASV1330,s__midas_s_1782,g__CL500-29_marine_group,na,na,na,na,na
ASV11726,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV14350,s__midas_s_11604,g__midas_g_11604,na,na,na,na,na
ASV9836,s__midas_s_13371,g__Chryseobacterium,na,na,na,na,var
ASV4272,s__midas_s_1956,g__Devosia,na,na,na,na,na
ASV8433,s__midas_s_20638,g__Leucobacter,na,na,na,na,neg
ASV10375,,,na,na,na,na,na
ASV2937,,g__Rhizobacter,na,na,na,na,na
ASV8627,s__midas_s_50790,g__midas_g_30640,na,na,na,na,na
ASV11293,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV1593,s__midas_s_515,g__midas_g_515,na,na,na,na,na
ASV10885,,g__Rhodobacter,na,na,na,na,neg
ASV16871,s__Pleomorphomonas_oryzae,g__Pleomorphomonas,na,na,na,na,na
ASV1327,s__midas_s_7001,g__Flexilinea,na,na,na,na,pos
ASV12287,,,na,na,na,na,na
ASV13074,,,na,na,na,na,na
ASV11230,s__midas_s_7050,g__Enterococcus,na,na,na,na,var
ASV15107,s__midas_s_7631,g__Amaricoccus,na,na,neg,neg,neg
ASV3200,s__midas_s_10586,g__Flavobacterium,na,na,na,na,var
ASV29528,s__Parabacteroides_distasonis,g__Parabacteroides,na,na,na,na,na
ASV733,s__midas_s_156,g__midas_g_156,na,na,na,na,na
newASV3,s__midas_s_57,g__midas_g_57,na,na,na,na,na
ASV8022,s__midas_s_21454,g__Janthinobacterium,na,na,na,na,na
ASV277,s__midas_s_136,g__Smithella,na,na,na,na,neg
ASV2040,s__midas_s_1483,g__midas_g_1416,na,na,na,na,na
ASV8363,s__midas_s_4239,g__Sphingobium,na,na,na,na,na
ASV113995,s__midas_s_876,g__midas_g_156,na,na,na,na,na
ASV5387,,g__Fusibacter,na,na,na,na,na
ASV1532,s__midas_s_136,g__Smithella,na,na,na,na,neg
ASV2298,s__midas_s_937,g__midas_g_225,na,na,na,na,na
ASV15976,,g__Brachybacterium,na,na,na,na,na
ASV20726,s__Thauera_humireducens,g__Thauera,na,na,neg,na,neg
ASV799,s__midas_s_134,g__midas_g_134,na,na,na,na,na
newASV13,s__midas_s_40,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV2697,,g__midas_g_1096,na,na,na,na,na
ASV4122,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV1641,s__midas_s_1946,g__midas_g_1946,na,na,na,na,na
ASV18555,s__midas_s_10754,g__Chryseobacterium,na,na,na,na,var
ASV1195,,g__JGI_0001001-H03,na,na,na,na,na
ASV2830,s__midas_s_502,g__midas_g_502,na,na,na,na,na
ASV273,s__midas_s_943,g__Defluviicoccus,neg,neg,neg,pos,var
ASV2921,s__midas_s_44830,g__midas_g_5463,na,na,na,na,na
ASV17868,,g__Dokdonella,na,na,na,na,neg
ASV876,s__midas_s_2192,g__Lentimicrobium,na,na,na,na,na
ASV20792,,,na,na,na,na,na
ASV2410,s__midas_s_22528,g__Lautropia,na,na,na,na,neg
ASV508,s__midas_s_190,g__midas_g_190,na,na,na,na,na
ASV11277,s__Acidovorax_temperans,g__Acidovorax,na,na,na,na,neg
ASV25066,,g__Aequorivita,na,na,na,na,na
ASV9746,s__Carnobacterium_maltaromaticum,g__Carnobacterium,na,na,na,na,na
ASV2632,s__midas_s_2836,g__midas_g_1097,na,na,na,na,na
ASV2347,s__midas_s_7259,g__midas_g_6877,na,na,na,na,na
ASV1783,s__midas_s_2086,g__Phaselicystis,na,na,na,na,na
ASV1513,s__midas_s_696,g__Pirellula,na,na,na,na,na
ASV2090,,,na,na,na,na,na
ASV988,s__midas_s_629,g__Comamonas,na,na,na,na,na
ASV2686,s__midas_s_723,g__Nitrosomonas,pos,neg,na,na,neg
ASV3935,s__midas_s_1786,g__midas_g_1786,na,na,na,na,na
ASV4777,s__midas_s_3214,g__midas_g_3214,na,na,na,na,na
ASV14178,s__midas_s_1465,g__midas_g_1465,na,na,na,na,na
ASV1928,s__midas_s_1498,g__midas_g_1498,na,na,na,na,na
ASV13618,,,na,na,na,na,na
newASV5,s__midas_s_60,g__midas_g_17,na,na,na,na,na
newASV12,,g__Pedomicrobium,na,na,na,na,neg
ASV1006,s__midas_s_531,g__midas_g_531,na,na,na,na,na
ASV447,s__midas_s_379,g__Ellin6067,na,na,na,na,na
ASV2288,s__midas_s_772,g__Ferruginibacter,na,na,na,na,neg
ASV14694,s__Romboutsia_sedimentorum,g__Romboutsia,na,na,na,na,neg
ASV1049,s__midas_s_497,g__midas_g_497,na,na,na,na,na
ASV7245,,,na,na,na,na,na
ASV644,s__midas_s_582,g__Ellin6067,na,na,na,na,na
newASV25,s__midas_s_598,g__Hyphomicrobium,na,na,na,na,neg
ASV3166,s__midas_s_3130,g__YC-ZSS-LKJ63,na,na,na,na,na
ASV2195,s__midas_s_5547,g__midas_g_5547,na,na,na,na,na
ASV17479,s__midas_s_22669,g__Chryseobacterium,na,na,na,na,var
ASV16427,,g__Sebaldella,na,na,na,na,na
ASV822,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV6753,s__midas_s_1209,g__Ferruginibacter,na,na,na,na,neg
ASV5649,s__midas_s_2275,g__IMCC26207,na,na,na,na,na
newASV146,,g__Tetrasphaera,neg,neg,pos,neg,var
ASV13915,s__midas_s_9783,g__Tychonema_CCAP_1459-11B,na,na,na,na,na
ASV5646,s__midas_s_16799,g__midas_g_11235,na,na,na,na,na
ASV688,s__midas_s_632,g__midas_g_17,na,na,na,na,na
ASV13851,,g__midas_g_4686,na,na,na,na,na
ASV3928,s__midas_s_2355,g__midas_g_57,na,na,na,na,na
ASV16929,,g__Staphylococcus,na,na,na,na,na
ASV40630,,g__Streptococcus,na,na,na,na,var
newASV21,s__midas_s_11003,g__midas_g_11003,na,na,na,na,na
newASV1994,,,na,na,na,na,na
ASV25487,s__midas_s_45684,g__midas_g_45684,na,na,na,na,na
ASV8037,,g__midas_g_6328,na,na,na,na,na
ASV19237,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV18969,s__midas_s_14052,g__Stenotrophomonas,na,na,na,na,na
ASV1436,s__midas_s_7001,g__Flexilinea,na,na,na,na,pos
ASV1618,s__midas_s_72,g__midas_g_72,na,na,na,na,na
ASV37972,,,na,na,na,na,na
ASV60509,,g__Aquabacterium,na,na,na,na,na
ASV19649,s__midas_s_17503,g__Flavobacterium,na,na,na,na,var
ASV166,s__midas_s_163,g__Methylorosula,na,na,na,na,neg
ASV1537,s__midas_s_2712,g__midas_g_2712,na,na,na,na,na
ASV19818,s__midas_s_47766,g__Corynebacterium,na,na,pos,na,neg
ASV15369,s__midas_s_5929,g__Corynebacterium,na,na,pos,na,neg
ASV3364,,g__Flavobacterium,na,na,na,na,var
ASV39942,,g__Streptococcus,na,na,na,na,var
ASV1393,s__midas_s_855,g__midas_g_855,na,na,na,na,na
ASV34166,,,na,na,na,na,na
ASV2794,s__midas_s_2639,g__Defluviicoccus,neg,neg,neg,pos,var
ASV20329,s__midas_s_80067,g__Exiguobacterium,na,na,na,na,na
ASV964,s__midas_s_163,g__Methylorosula,na,na,na,na,neg
ASV3746,s__midas_s_1191,g__Ruminococcus,na,na,na,na,na
ASV2631,s__midas_s_3440,g__Sphingobium,na,na,na,na,na
ASV23933,s__Carnobacterium_divergens,g__Carnobacterium,na,na,na,na,na
ASV5218,s__midas_s_877,g__Devosia,na,na,na,na,na
ASV1269,s__midas_s_300,g__midas_g_300,na,na,na,na,na
ASV28031,,,na,na,na,na,na
ASV1141,s__midas_s_669,g__midas_g_669,na,na,na,na,na
ASV2859,s__midas_s_8433,g__Dechloromonas,na,na,var,neg,neg
ASV35263,s__midas_s_3621,g__Enhydrobacter,na,na,na,na,na
ASV10347,s__Hyphomicrobium_denitrificans,g__Hyphomicrobium,na,na,na,na,neg
ASV4502,s__midas_s_7434,g__midas_g_800,na,na,na,na,na
ASV10930,s__midas_s_7050,g__Enterococcus,na,na,na,na,var
ASV306,s__Nitrospira_nitrosa,g__Nitrospira,var,pos,neg,neg,neg
ASV1433,s__midas_s_485,g__midas_g_485,na,na,na,na,na
ASV20520,,,na,na,na,na,na
ASV4221,s__midas_s_21300,g__Comamonas,na,na,na,na,na
ASV9808,s__midas_s_2984,g__Paraclostridium,na,na,na,na,na
ASV220,,g__Tetrasphaera,neg,neg,pos,neg,var
ASV2071,s__midas_s_687,g__Thermovirga,na,na,na,na,neg
ASV3572,s__midas_s_151,g__midas_g_100,na,na,na,na,na
ASV9078,,,na,na,na,na,na
ASV50175,s__midas_s_44908,g__Amaricoccus,na,na,neg,neg,neg
ASV4259,,g__Rhodobacter,na,na,na,na,neg
ASV43994,s__midas_s_65133,g__Veillonella,na,na,na,na,na
ASV25075,s__midas_s_80204,g__Williamwhitmania,na,na,na,na,na
ASV3983,,g__Phreatobacter,na,na,na,na,neg
ASV19567,,g__Staphylococcus,na,na,na,na,na
ASV1359,s__midas_s_5042,g__midas_g_2796,na,na,na,na,na
newASV7,s__midas_s_5535,g__midas_g_5535,na,na,na,na,na
ASV11329,s__midas_s_59010,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV405,s__midas_s_92,g__W5,na,na,na,na,na
ASV6951,s__midas_s_16579,g__midas_g_12817,na,na,na,na,na
ASV4430,,g__midas_g_2010,na,na,na,na,na
ASV2485,s__midas_s_7125,g__midas_g_7125,na,na,na,na,na
ASV21210,s__midas_s_80067,g__Exiguobacterium,na,na,na,na,na
ASV15156,s__midas_s_67150,g__Nakamurella,na,na,na,na,na
ASV23585,s__midas_s_57413,g__Staphylococcus,na,na,na,na,na
ASV9442,s__midas_s_8971,g__Rhizobacter,na,na,na,na,na
ASV16706,s__midas_s_9537,g__Bacillus,na,na,na,na,na
ASV14469,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV16827,,g__Clostridium_sensu_stricto_9,na,na,na,na,na
ASV9404,s__midas_s_5587,g__Comamonas,na,na,na,na,na
ASV3645,s__midas_s_2037,g__Ferruginibacter,na,na,na,na,neg
ASV17737,s__midas_s_7616,g__Rhodobacter,na,na,na,na,neg
ASV2946,s__midas_s_3315,g__midas_g_3315,na,na,na,na,na
ASV24223,,g__Flavobacterium,na,na,na,na,var
ASV14651,s__midas_s_13074,g__midas_g_13074,na,na,na,na,na
ASV5272,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV3760,s__midas_s_3875,g__Novosphingobium,na,na,na,na,neg
ASV4052,s__midas_s_2561,g__midas_g_1498,na,na,na,na,na
ASV118875,,,na,na,na,na,na
ASV27534,,,na,na,na,na,na
ASV10778,s__midas_s_7050,g__Enterococcus,na,na,na,na,var
ASV24051,s__Facklamia_tabacinasalis,g__Facklamia,na,na,na,na,na
ASV1239,,g__Ferruginibacter,na,na,na,na,neg
ASV17915,s__midas_s_25565,g__Rhodanobacter,na,na,na,na,na
ASV41844,,g__midas_g_1922,na,na,na,na,na
ASV4201,s__midas_s_4777,g__midas_g_4777,na,na,na,na,na
ASV11251,,,na,na,na,na,na
newASV1328,,,na,na,na,na,na
ASV3649,,g__Devosia,na,na,na,na,na
ASV2393,s__midas_s_8144,g__Rhodococcus,na,na,na,na,na
ASV3544,s__midas_s_6800,g__Flavobacterium,na,na,na,na,var
ASV6076,,,na,na,na,na,na
ASV4162,s__midas_s_4177,g__Clostridium_sensu_stricto_12,na,na,na,na,na
newASV1974,,g__Neisseria,na,na,na,na,na
ASV11985,s__midas_s_9536,g__Staphylococcus,na,na,na,na,na
ASV585,s__midas_s_730,g__Sulfuritalea,na,na,na,na,neg
ASV13760,s__midas_s_54168,g__midas_g_26479,na,na,na,na,na
newASV17,,,na,na,na,na,na
ASV22855,,g__Chryseobacterium,na,na,na,na,var
ASV2107,s__Demequina_lutea,g__Demequina,na,na,na,na,na
ASV225,,g__Dokdonella,na,na,na,na,neg
ASV6481,,g__Mesorhizobium,na,na,na,na,na
ASV2545,,g__Rhodoplanes,na,na,na,na,na
ASV2854,s__midas_s_3520,g__Terrimonas,na,na,na,na,neg
ASV1455,s__midas_s_4419,g__midas_g_4419,na,na,na,na,na
ASV2983,,g__midas_g_9407,na,na,na,na,na
ASV15520,,,na,na,na,na,na
ASV20942,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV18708,,g__Rhodococcus,na,na,na,na,na
ASV3433,s__midas_s_5300,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV1365,s__midas_s_2150,g__Hyphomicrobium,na,na,na,na,neg
ASV5882,s__midas_s_45170,g__Propioniciclava,na,na,na,na,neg
ASV5414,,g__midas_g_3969,na,na,na,na,na
newASV1660,,g__Neisseria,na,na,na,na,na
ASV11532,,g__Paludibacter,na,na,na,na,na
ASV3629,s__midas_s_4338,g__Sphaerotilus,na,na,na,na,var
ASV39081,,g__Streptococcus,na,na,na,na,var
ASV56756,s__midas_s_65133,g__Veillonella,na,na,na,na,na
ASV16894,s__midas_s_17539,g__Abditibacterium,na,na,na,na,na
ASV2464,s__midas_s_1096,g__midas_g_1096,na,na,na,na,na
newASV1,s__midas_s_398,g__midas_g_31,na,na,na,na,na
ASV2601,s__midas_s_6009,g__midas_g_59,na,na,na,na,na
ASV41528,,,na,na,na,na,na
newASV223,,,na,na,na,na,na
newASV2524,,,na,na,na,na,na
newASV398,,,na,na,na,na,na
ASV25431,s__midas_s_14630,g__Ca_Villigracilis,na,na,na,na,pos
ASV25020,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV16205,s__Propionibacterium_cyclohexanicum,g__Propionibacterium,na,na,na,na,na
ASV9203,,g__Terrisporobacter,na,na,na,na,neg
ASV25158,s__midas_s_12332,g__midas_g_1465,na,na,na,na,na
ASV2413,s__midas_s_1719,g__midas_g_1719,na,na,na,na,na
ASV10206,s__midas_s_5098,g__midas_g_5098,na,na,na,na,na
newASV1084,,,na,na,na,na,na
ASV2235,s__midas_s_2713,g__Geobacter,na,na,na,na,na
ASV1156,,g__Hyphomicrobium,na,na,na,na,neg
ASV475,s__Nitrospira_nitrosa,g__Nitrospira,var,pos,neg,neg,neg
ASV1113,s__midas_s_92,g__W5,na,na,na,na,na
ASV105826,s__midas_s_502,g__midas_g_502,na,na,na,na,na
ASV1322,s__midas_s_669,g__midas_g_669,na,na,na,na,na
ASV36170,,,na,na,na,na,na
ASV15914,,g__Chryseobacterium,na,na,na,na,var
ASV31067,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV31890,s__midas_s_84354,g__Exiguobacterium,na,na,na,na,na
ASV24721,s__Nocardioides_alpinus,g__Nocardioides,na,na,na,na,var
ASV1956,s__midas_s_552,g__Smithella,na,na,na,na,neg
ASV12796,s__Thiothrix_eikelboomii,g__Thiothrix,na,na,na,na,pos
ASV6207,,g__midas_g_75,na,na,na,na,na
ASV36745,,,na,na,na,na,na
newASV573,,,na,na,na,na,na
ASV4545,s__midas_s_9445,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV2835,s__Demequina_lutea,g__Demequina,na,na,na,na,na
ASV1157,,g__Ferruginibacter,na,na,na,na,neg
ASV1828,,g__Hyphomicrobium,na,na,na,na,neg
ASV1233,s__midas_s_12,g__midas_g_12,na,na,na,na,na
ASV1612,s__midas_s_2658,g__midas_g_1586,na,na,na,na,na
ASV15372,s__midas_s_30259,g__midas_g_6877,na,na,na,na,na
ASV5992,,g__midas_g_8033,na,na,na,na,na
ASV36223,,,na,na,na,na,na
ASV17938,s__Carnobacterium_maltaromaticum,g__Carnobacterium,na,na,na,na,na
ASV10923,s__midas_s_64654,g__Paeniglutamicibacter,na,na,na,na,na
newASV290,s__Parabacteroides_distasonis,g__Parabacteroides,na,na,na,na,na
ASV1784,s__midas_s_1445,g__SH-PL14,na,na,na,na,na
ASV1169,s__midas_s_1605,g__midas_g_1605,na,na,na,na,na
ASV2570,s__midas_s_3547,g__midas_g_3547,na,na,na,na,na
ASV1839,s__midas_s_1595,g__midas_g_992,na,na,na,na,na
ASV45060,,g__Acinetobacter,na,na,neg,neg,var
ASV6532,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV34242,,g__Enterococcus,na,na,na,na,var
ASV23975,s__midas_s_11654,g__Flavobacterium,na,na,na,na,var
ASV27230,s__midas_s_60603,g__Micrococcus,na,na,na,na,na
ASV24235,,g__Roseomonas,na,na,na,na,na
ASV59339,,g__Streptococcus,na,na,na,na,var
ASV1800,s__midas_s_998,g__Syntrophorhabdus,na,na,na,na,na
ASV6289,s__Undibacterium_parvum,g__Undibacterium,na,na,na,na,na
ASV2655,s__midas_s_7657,g__midas_g_7657,na,na,na,na,na
ASV25715,,,na,na,na,na,na
ASV15314,s__midas_s_71281,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV4864,s__midas_s_8825,g__Herbinix,na,na,na,na,na
ASV36518,,g__Massilia,na,na,na,na,na
ASV2456,s__midas_s_1425,g__Novosphingobium,na,na,na,na,neg
ASV2323,s__midas_s_2748,g__midas_g_1226,na,na,na,na,na
ASV2268,s__midas_s_5163,g__midas_g_356,na,na,na,na,na
ASV1628,s__midas_s_5104,g__midas_g_5104,na,na,na,na,na
ASV12161,,,na,na,na,na,na
newASV2312,,,na,na,na,na,na
ASV107614,s__midas_s_2362,g__Ca_Ovatusbacter,na,na,na,na,na
ASV4390,,g__Devosia,na,na,na,na,na
ASV2392,s__midas_s_8041,g__Kouleothrix,na,na,neg,neg,pos
ASV21130,s__midas_s_2984,g__Paraclostridium,na,na,na,na,na
ASV67607,,g__Streptococcus,na,na,na,na,var
ASV13179,s__Undibacterium_parvum,g__Undibacterium,na,na,na,na,na
ASV5097,s__midas_s_1187,g__midas_g_1187,na,na,na,na,na
ASV2668,,g__midas_g_1586,na,na,na,na,na
ASV5118,,g__midas_g_15964,na,na,na,na,na
ASV4747,s__midas_s_3763,g__midas_g_2408,na,na,na,na,na
ASV7672,s__midas_s_6658,g__midas_g_3838,na,na,na,na,na
ASV1142,s__midas_s_762,g__midas_g_762,na,na,na,na,na
ASV72129,,,na,na,na,na,na
newASV1802,,,na,na,na,na,na
newASV342,,g__Microbacterium,na,na,na,na,na
ASV1731,s__midas_s_65,g__midas_g_65,na,na,na,na,na
ASV11324,s__midas_s_813,g__midas_g_813,na,na,na,na,na
ASV15979,,,na,na,na,na,na
ASV43666,,,na,na,na,na,na
ASV15889,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV1864,s__midas_s_2674,g__Longivirga,na,na,na,na,na
ASV5838,s__midas_s_10484,g__Pythium_ultimum,na,na,na,na,na
ASV6100,s__midas_s_16579,g__midas_g_12817,na,na,na,na,na
ASV755,s__midas_s_1586,g__midas_g_1586,na,na,na,na,na
ASV4863,s__midas_s_7657,g__midas_g_7657,na,na,na,na,na
ASV10828,s__midas_s_77148,g__midas_g_77148,na,na,na,na,na
ASV290,,,na,na,na,na,na
ASV2741,s__midas_s_65976,g__ADurb.Bin063-1,na,na,na,na,na
ASV8072,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV1663,,g__Ellin6067,na,na,na,na,na
ASV1300,s__midas_s_1121,g__Geothrix,na,na,na,na,neg
ASV4200,s__midas_s_1386,g__Leptospira,na,na,na,na,na
ASV497,s__midas_s_361,g__Nitrospira,var,pos,neg,neg,neg
ASV33627,s__midas_s_21185,g__Thiocapsa,na,na,na,na,na
ASV1071,s__midas_s_153,g__midas_g_153,na,na,na,na,na
ASV1457,s__midas_s_798,g__midas_g_171,na,na,na,na,na
ASV2192,s__midas_s_632,g__midas_g_17,na,na,na,na,na
newASV18,s__midas_s_2154,g__midas_g_2154,na,na,na,na,na
ASV8118,s__midas_s_3536,g__midas_g_225,na,na,na,na,na
ASV586,s__midas_s_356,g__midas_g_356,na,na,na,na,na
ASV2069,s__midas_s_1102,g__midas_g_515,na,na,na,na,na
ASV24911,s__midas_s_70455,g__midas_g_70455,na,na,na,na,na
ASV22665,,,na,na,na,na,na
ASV38244,,,na,na,na,na,na
ASV4859,s__midas_s_4674,g__Ca_Ovatusbacter,na,na,na,na,na
ASV1487,s__midas_s_1982,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV11109,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV612,s__midas_s_3093,g__Flavobacterium,na,na,na,na,var
ASV790,s__midas_s_478,g__Nitrosomonas,pos,neg,na,na,neg
ASV2953,s__midas_s_2216,g__Pirellula,na,na,na,na,na
newASV1400,,g__Prevotella,na,na,na,na,var
ASV2812,s__midas_s_3105,g__Sedimentibacter,na,na,na,na,var
ASV25294,s__midas_s_47095,g__TM7x,na,na,na,na,na
ASV2752,s__midas_s_3001,g__Thermovirga,na,na,na,na,neg
ASV4590,s__midas_s_14103,g__midas_g_12817,na,na,na,na,na
ASV4431,s__midas_s_5730,g__midas_g_1319,na,na,na,na,na
ASV34285,s__midas_s_1465,g__midas_g_1465,na,na,na,na,na
ASV6383,s__midas_s_1792,g__midas_g_1792,na,na,na,na,na
ASV4135,s__midas_s_18707,g__midas_g_18707,na,na,na,na,na
ASV7576,s__midas_s_22520,g__midas_g_22520,na,na,na,na,na
ASV10727,s__midas_s_23319,g__midas_g_23319,na,na,na,na,na
ASV2053,s__midas_s_2945,g__midas_g_2945,na,na,na,na,na
newASV429,s__midas_s_40990,g__midas_g_40990,na,na,na,na,na
ASV3296,s__midas_s_4871,g__midas_g_4871,na,na,na,na,na
ASV1501,,g__midas_g_57,na,na,na,na,na
ASV23565,s__midas_s_62200,g__midas_g_62200,na,na,na,na,na
ASV8819,s__midas_s_8530,g__midas_g_641,na,na,na,na,na
ASV3943,s__midas_s_5556,g__midas_g_991,na,na,na,na,na
ASV1702,s__midas_s_3522,g__Arenimonas,na,na,na,na,na
ASV9360,s__midas_s_88977,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV2918,s__midas_s_5289,g__Haliangium,na,na,na,na,neg
ASV1111,s__midas_s_361,g__Nitrospira,var,pos,neg,neg,neg
ASV4937,s__midas_s_9224,g__midas_g_1057,na,na,na,na,na
ASV3684,s__midas_s_14034,g__midas_g_10823,na,na,na,na,na
ASV2399,s__midas_s_433,g__midas_g_433,na,na,na,na,na
ASV5331,,g__midas_g_4871,na,na,na,na,na
ASV647,s__midas_s_502,g__midas_g_502,na,na,na,na,na
ASV6992,s__midas_s_7310,g__midas_g_641,na,na,na,na,na
ASV3418,s__midas_s_2846,g__midas_g_855,na,na,na,na,na
ASV9315,s__midas_s_9658,g__midas_g_9628,na,na,na,na,na
ASV1899,s__midas_s_4785,g__midas_g_973,na,na,na,na,na
ASV41121,,,na,na,na,na,na
newASV1644,,,na,na,na,na,na
ASV25669,,g__Acidovorax,na,na,na,na,neg
ASV10132,,g__Clostridium_sensu_stricto_13,na,na,na,na,na
ASV17859,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV38271,,g__Enterococcus,na,na,na,na,var
ASV677,,g__Ferruginibacter,na,na,na,na,neg
ASV685,,g__Hyphomicrobium,na,na,na,na,neg
ASV36135,s__midas_s_16487,g__Propioniciclava,na,na,na,na,neg
ASV1931,,g__SH-PL14,na,na,na,na,na
ASV625,s__midas_s_1188,g__Stenotrophobacter,na,na,na,na,na
ASV5971,,g__Terrimonas,na,na,na,na,neg
ASV589,s__midas_s_7107,g__Terrimonas,na,na,na,na,neg
ASV11738,,g__Terrisporobacter,na,na,na,na,neg
ASV3654,,g__midas_g_11331,na,na,na,na,na
ASV4678,s__midas_s_11912,g__midas_g_11912,na,na,na,na,na
